Type,Genus,Tube colour,Botanical name,Common name,Height (m),Spread (m),Rain (mm),Soil texture,Soil pH,Frost,Flower colour,Flower (time)
Trees and Shrubs,Acacia ,B,acinacea ,round-leaved wattle,1-2,1-2,300,"Sa,Lo,Cl",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,argyrophylla,golden-grey mulga,1-5,2-6,350,"Sa,Lo,Li",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,brachybotrya,grey mulga,2-4,1.5-4,250,"Sa,Lo,Cl,Li",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,calamifolia,wallowa ,2-5,2-4,200,"Sa,Lo,Cl,Li",ANC,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,farinosa,mealy wattle,1-2,2-4,350,"Sa, Lo, Li",ANC,M,Y,"W, Sp"
Trees and Shrubs,Acacia ,B,floribunda,gossamer wattle,4-7,4-6,550,"Lo,Cl",AN/C,M,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,glandulicarpa,hairy-pod wattle,1-3,1-3,350,"Sa,Lo",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,gunnii,ploughshare wattle,0.2-0.8,1-2,500,"Sa,Lo,Cl",AN,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,hakeoides,hakea wattle,2.5-4,3-5,250,"Sa,Lo",ANC,R,Y,"W,Sp"
Trees and Shrubs,Acacia ,B,howittii,sticky wattle,4-8,3-6,450,"Lo,Cl",ANC,R,Y,Sp
Trees and Shrubs,Acacia ,B,ligulata,umbrella wattle,2-4,4-6,150,"Sa,Lo,Cl Li",ANC,R,Y,Sp
Trees and Shrubs,Acacia ,B,lineata,streaked wattle,0.5-3,1-3,500,"Sa,Lo,Cl",ANC,M,Y,Sp
Trees and Shrubs,Acacia ,B,longifolia var. sophorae,coastal wattle,2-5,4-8,450,"Sa,Lo",ANC,M,Y,"W,Sp"
