Genus,plantid
string,number
Eucalyptus ,38
Acacia ,30
Melaleuca,10
Allocasuarina,6
Atriplex,6
Olearia,5
Austrodanthonia  syn. Danthonia,5
Eremophila,5
Banksia,5
Goodenia,4
Callistemon,4
Myoporum,4
Hardenbergia,4
Hakea,4
Hibbertia,4
Leptospermum,4
Grevillea,3
Rhagodia,3
Lomandra,3
Lasiopetalum,3
Correa,3
Pultenaea,3
Poa,3
Scaevola,3
Tetratheca,3
Casuarina,2
Prostanthera,2
Carex,2
Westringia ,2
Boronia ,2
Maireana,2
Philotheca Syn:Eriostemon,2
Austrostipa  syn. Stipa,2
Dodonaea,2
Micromyrtus,1
Thryptomene,1
Mazus ,1
Triodia,1
Mentha ,1
Viminaria,1
Viola,1
Thomasia,1
Syzygium,1
Mimulus ,1
Muehlenbeckia,1
Solanum ,1
Senna,1
Schoenoplectus ,1
Orthrosanthus,1
Patersonia,1
Pelargonium,1
Pimelea,1
Platylobium,1
Linum ,1
Pratia,1
Lobelia ,1
Helichrysum,1
Leucopogon,1
Leucophyta,1
Chrysocephalum ,1
Cheiranthera,1
Centella,1
Carpobrotus,1
Calostemma,1
Burchardia,1
Bulbine ,1
Brachyscome ,1
Brachychiton,1
Bothriochloa,1
Bauera,1
Babingtonia syn Baeckea,1
Arthropodium ,1
Aristida ,1
Ajuga,1
Corymbia  formerly Eucalyptus,1
Crowea ,1
Daviesia ,1
Glischrocaryon,1
Kunzea,1
Kennedia,1
Isopogon,1
Isolepis ,1
Hybanthus,1
Adriana,1
Gahnia,1
Dianella,1
Enneapogon,1
Elymus,1
Eleocharis,1
Distichlis,1
Diplarrena,1
Dillwynia,1
Xanthorrhoea,1
